slug,name,playtime,platforms,stores,released,tba,background_image,rating,rating_top,ratings,ratings_count,reviews_text_count,added,added_by_status,metacritic,suggestions_count,updated,id,score,clip,tags,esrb_rating,user_game,reviews_count,saturated_color,dominant_color,short_screenshots,parent_platforms,genres,community_rating
the-lords-of-midnight,The Lords of Midnight,1,"[{'platform': {'id': 4, 'name': 'PC', 'slug': 'pc'}}, {'platform': {'id': 3, 'name': 'iOS', 'slug': 'ios'}}, {'platform': {'id': 21, 'name': 'Android', 'slug': 'android'}}, {'platform': {'id': 5, 'name': 'macOS', 'slug': 'macos'}}, {'platform': {'id': 55, 'name': 'Classic Macintosh', 'slug': 'macintosh'}}, {'platform': {'id': 166, 'name': 'Commodore / Amiga', 'slug': 'commodore-amiga'}}]","[{'store': {'id': 4, 'name': 'App Store', 'slug': 'apple-appstore'}}, {'store': {'id': 5, 'name': 'GOG', 'slug': 'gog'}}, {'store': {'id': 8, 'name': 'Google Play', 'slug': 'google-play'}}]",1984-01-01,False,https://media.rawg.io/media/screenshots/f64/f64fc102b850732764dfd7c29cca3429.jpg,1.77,1,"[{'id': 1, 'title': 'skip', 'count': 29, 'percent': 67.44}, {'id': 3, 'title': 'meh', 'count': 9, 'percent': 20.93}, {'id': 4, 'title': 'recommended', 'count': 5, 'percent': 11.63}]",43,0,1252,"{'yet': 109, 'owned': 1127, 'beaten': 2, 'toplay': 4, 'dropped': 10}",,168,2023-10-17T17:32:41,2970,,,"[{'id': 31, 'name': 'Singleplayer', 'slug': 'singleplayer', 'language': 'eng', 'games_count': 220522, 'image_background': 'https://media.rawg.io/media/games/511/5118aff5091cb3efec399c808f8c598f.jpg'}, {'id': 468, 'name': 'role-playing', 'slug': 'role-playing', 'language': 'eng', 'games_count': 1567, 'image_background': 'https://media.rawg.io/media/games/f99/f9979698c43fd84c3ab69280576dd3af.jpg'}]",,,43,0f0f0f,0f0f0f,"[{'id': -1, 'image': 'https://media.rawg.io/media/screenshots/f64/f64fc102b850732764dfd7c29cca3429.jpg'}, {'id': 223198, 'image': 'https://media.rawg.io/media/screenshots/685/685b185edfbea0a5b9d13f07e6dfa178.jpg'}, {'id': 223199, 'image': 'https://media.rawg.io/media/screenshots/9e6/9e631b9d74a6e36e21bc96f5c8c051ca.jpg'}, {'id': 223200, 'image': 'https://media.rawg.io/media/screenshots/83a/83a98e885ffa1f27d7adb0b9b4488d03.jpg'}, {'id': 223201, 'image': 'https://media.rawg.io/media/screenshots/804/8045ad189ebf8061c019959abc8f1b77.jpg'}, {'id': 223202, 'image': 'https://media.rawg.io/media/screenshots/de9/de91b9ca19f10bb5d3f2a4d41c786d59.jpg'}, {'id': 223203, 'image': 'https://media.rawg.io/media/screenshots/124/124f878d1ba2bba263b5b805437c44ef.jpg'}]","[{'platform': {'id': 1, 'name': 'PC', 'slug': 'pc'}}, {'platform': {'id': 4, 'name': 'iOS', 'slug': 'ios'}}, {'platform': {'id': 8, 'name': 'Android', 'slug': 'android'}}, {'platform': {'id': 5, 'name': 'Apple Macintosh', 'slug': 'mac'}}, {'platform': {'id': 10, 'name': 'Commodore / Amiga', 'slug': 'commodore-amiga'}}]","[{'id': 10, 'name': 'Strategy', 'slug': 'strategy'}, {'id': 3, 'name': 'Adventure', 'slug': 'adventure'}, {'id': 5, 'name': 'RPG', 'slug': 'role-playing-games-rpg'}]",
tetris-1984,Tetris (1984),0,"[{'platform': {'id': 26, 'name': 'Game Boy', 'slug': 'game-boy'}}, {'platform': {'id': 79, 'name': 'SNES', 'slug': 'snes'}}, {'platform': {'id': 49, 'name': 'NES', 'slug': 'nes'}}, {'platform': {'id': 166, 'name': 'Commodore / Amiga', 'slug': 'commodore-amiga'}}, {'platform': {'id': 23, 'name': 'Atari 2600', 'slug': 'atari-2600'}}, {'platform': {'id': 34, 'name': 'Atari ST', 'slug': 'atari-st'}}, {'platform': {'id': 167, 'name': 'Genesis', 'slug': 'genesis'}}]",,1984-06-06,False,https://media.rawg.io/media/games/637/637d7dc2f44d0f6ddd3ee2c0b1366962.jpg,4.38,5,"[{'id': 5, 'title': 'exceptional', 'count': 186, 'percent': 57.76}, {'id': 4, 'title': 'recommended', 'count': 103, 'percent': 31.99}, {'id': 3, 'title': 'meh', 'count': 18, 'percent': 5.59}, {'id': 1, 'title': 'skip', 'count': 15, 'percent': 4.66}]",320,1,585,"{'yet': 7, 'owned': 190, 'beaten': 196, 'toplay': 22, 'dropped': 156, 'playing': 14}",,132,2024-05-09T21:10:34,52623,,,"[{'id': 31, 'name': 'Singleplayer', 'slug': 'singleplayer', 'language': 'eng', 'games_count': 223846, 'image_background': 'https://media.rawg.io/media/games/511/5118aff5091cb3efec399c808f8c598f.jpg'}, {'id': 7, 'name': 'Multiplayer', 'slug': 'multiplayer', 'language': 'eng', 'games_count': 38053, 'image_background': 'https://media.rawg.io/media/games/ec3/ec3a7db7b8ab5a71aad622fe7c62632f.jpg'}]",,,322,0f0f0f,0f0f0f,"[{'id': -1, 'image': 'https://media.rawg.io/media/games/637/637d7dc2f44d0f6ddd3ee2c0b1366962.jpg'}, {'id': 1807278, 'image': 'https://media.rawg.io/media/screenshots/992/99238687732e1041cf82dedd038c91aa.jpg'}, {'id': 2149239, 'image': 'https://media.rawg.io/media/screenshots/9de/9de5680e71e140ec6ed71fb6e4b85154.jpg'}, {'id': 2149240, 'image': 'https://media.rawg.io/media/screenshots/010/010e0b27a59dd357548c758c06caf88d.jpg'}, {'id': 2149241, 'image': 'https://media.rawg.io/media/screenshots/01a/01af6eefc1c029fa7eb6c87fa6da4a39.jpg'}, {'id': 2149242, 'image': 'https://media.rawg.io/media/screenshots/70c/70c2e961f90c390dc370b381b74d1057.jpg'}]","[{'platform': {'id': 7, 'name': 'Nintendo', 'slug': 'nintendo'}}, {'platform': {'id': 9, 'name': 'Atari', 'slug': 'atari'}}, {'platform': {'id': 10, 'name': 'Commodore / Amiga', 'slug': 'commodore-amiga'}}, {'platform': {'id': 11, 'name': 'SEGA', 'slug': 'sega'}}]","[{'id': 7, 'name': 'Puzzle', 'slug': 'puzzle'}]",
duck-hunt-1984,Duck Hunt (1984),5,"[{'platform': {'id': 10, 'name': 'Wii U', 'slug': 'wii-u'}}, {'platform': {'id': 49, 'name': 'NES', 'slug': 'nes'}}]","[{'store': {'id': 6, 'name': 'Nintendo Store', 'slug': 'nintendo'}}]",1984-04-21,False,https://media.rawg.io/media/screenshots/33e/33e9f79f78d1d49e7631d82c59ed32a1.jpg,3.97,4,"[{'id': 4, 'title': 'recommended', 'count': 113, 'percent': 62.09}, {'id': 5, 'title': 'exceptional', 'count': 38, 'percent': 20.88}, {'id': 3, 'title': 'meh', 'count': 25, 'percent': 13.74}, {'id': 1, 'title': 'skip', 'count': 6, 'percent': 3.3}]",180,2,392,"{'yet': 6, 'owned': 98, 'beaten': 133, 'toplay': 20, 'dropped': 132, 'playing': 3}",,169,2024-06-17T15:35:57,53803,,,"[{'id': 31, 'name': 'Singleplayer', 'slug': 'singleplayer', 'language': 'eng', 'games_count': 224157, 'image_background': 'https://media.rawg.io/media/games/34b/34b1f1850a1c06fd971bc6ab3ac0ce0e.jpg'}, {'id': 7, 'name': 'Multiplayer', 'slug': 'multiplayer', 'language': 'eng', 'games_count': 38116, 'image_background': 'https://media.rawg.io/media/games/f46/f466571d536f2e3ea9e815ad17177501.jpg'}, {'id': 8, 'name': 'First-Person', 'slug': 'first-person', 'language': 'eng', 'games_count': 31803, 'image_background': 'https://media.rawg.io/media/games/2ba/2bac0e87cf45e5b508f227d281c9252a.jpg'}, {'id': 351, 'name': 'Two-player', 'slug': 'two-player', 'language': 'eng', 'games_count': 272, 'image_background': 'https://media.rawg.io/media/screenshots/1c1/1c1c7ba1dc364dc71e522acd045aa428.jpg'}]",,,182,0f0f0f,0f0f0f,"[{'id': -1, 'image': 'https://media.rawg.io/media/screenshots/33e/33e9f79f78d1d49e7631d82c59ed32a1.jpg'}, {'id': 735528, 'image': 'https://media.rawg.io/media/screenshots/e96/e96d7033f28593eeb490b1e07fcf0b0f.jpg'}, {'id': 735529, 'image': 'https://media.rawg.io/media/screenshots/915/91515759bac4320c0551dd4fed580820.jpg'}, {'id': 735530, 'image': 'https://media.rawg.io/media/screenshots/917/9178b85051afaf85be3eb30e31f2cbe0.jpg'}, {'id': 735531, 'image': 'https://media.rawg.io/media/screenshots/1ca/1ca64151432d576e6655410b90e1f078.jpg'}, {'id': 735532, 'image': 'https://media.rawg.io/media/screenshots/664/664525864d27a68abc310fd6db89668b.jpg'}, {'id': 735533, 'image': 'https://media.rawg.io/media/screenshots/f8f/f8f5ff0dd35943eb627ae92829736f0b.jpg'}]","[{'platform': {'id': 7, 'name': 'Nintendo', 'slug': 'nintendo'}}]","[{'id': 15, 'name': 'Sports', 'slug': 'sports'}]",
excitebike,Excitebike,2,"[{'platform': {'id': 7, 'name': 'Nintendo Switch', 'slug': 'nintendo-switch'}}, {'platform': {'id': 8, 'name': 'Nintendo 3DS', 'slug': 'nintendo-3ds'}}, {'platform': {'id': 10, 'name': 'Wii U', 'slug': 'wii-u'}}, {'platform': {'id': 11, 'name': 'Wii', 'slug': 'wii'}}, {'platform': {'id': 24, 'name': 'Game Boy Advance', 'slug': 'game-boy-advance'}}, {'platform': {'id': 49, 'name': 'NES', 'slug': 'nes'}}]","[{'store': {'id': 6, 'name': 'Nintendo Store', 'slug': 'nintendo'}}]",1984-11-30,False,https://media.rawg.io/media/screenshots/f44/f444c7de861c7a87e3028a7d9f372394.jpg,3.94,4,"[{'id': 4, 'title': 'recommended', 'count': 79, 'percent': 56.83}, {'id': 3, 'title': 'meh', 'count': 30, 'percent': 21.58}, {'id': 5, 'title': 'exceptional', 'count': 28, 'percent': 20.14}, {'id': 1, 'title': 'skip', 'count': 2, 'percent': 1.44}]",137,2,283,"{'yet': 11, 'owned': 71, 'beaten': 97, 'toplay': 10, 'dropped': 93, 'playing': 1}",,211,2024-06-17T15:36:02,25116,,,"[{'id': 31, 'name': 'Singleplayer', 'slug': 'singleplayer', 'language': 'eng', 'games_count': 223846, 'image_background': 'https://media.rawg.io/media/games/511/5118aff5091cb3efec399c808f8c598f.jpg'}, {'id': 7, 'name': 'Multiplayer', 'slug': 'multiplayer', 'language': 'eng', 'games_count': 38053, 'image_background': 'https://media.rawg.io/media/games/ec3/ec3a7db7b8ab5a71aad622fe7c62632f.jpg'}]",,,139,0f0f0f,0f0f0f,"[{'id': -1, 'image': 'https://media.rawg.io/media/screenshots/f44/f444c7de861c7a87e3028a7d9f372394.jpg'}, {'id': 248669, 'image': 'https://media.rawg.io/media/screenshots/5df/5df2794d09e4c8bfe3b20209b0fb2400.jpg'}, {'id': 248670, 'image': 'https://media.rawg.io/media/screenshots/4cb/4cb2d8026276d01b72b13de749b32824.jpg'}, {'id': 248671, 'image': 'https://media.rawg.io/media/screenshots/6dc/6dc5dff299a2934376cdc6ebbee62b07.jpg'}, {'id': 248672, 'image': 'https://media.rawg.io/media/screenshots/8c9/8c997a9275a64c6eb819e5b7a9d4f635.jpg'}, {'id': 248673, 'image': 'https://media.rawg.io/media/screenshots/887/8879eb60c7d7652a1aa6ff92185e1021.jpg'}, {'id': 261631, 'image': 'https://media.rawg.io/media/screenshots/e83/e83e41863da364c6c870e8a701b87d94.jpg'}]","[{'platform': {'id': 7, 'name': 'Nintendo', 'slug': 'nintendo'}}]","[{'id': 1, 'name': 'Racing', 'slug': 'racing'}]",
circus-charlie,Circus Charlie,0,"[{'platform': {'id': 10, 'name': 'Wii U', 'slug': 'wii-u'}}, {'platform': {'id': 49, 'name': 'NES', 'slug': 'nes'}}, {'platform': {'id': 166, 'name': 'Commodore / Amiga', 'slug': 'commodore-amiga'}}]",,1984-04-01,False,https://media.rawg.io/media/screenshots/1e9/1e99695d085a792f09755c951f9f7770.jpg,3.63,4,"[{'id': 4, 'title': 'recommended', 'count': 52, 'percent': 56.52}, {'id': 3, 'title': 'meh', 'count': 21, 'percent': 22.83}, {'id': 5, 'title': 'exceptional', 'count': 11, 'percent': 11.96}, {'id': 1, 'title': 'skip', 'count': 8, 'percent': 8.7}]",91,1,163,"{'yet': 1, 'owned': 38, 'beaten': 60, 'toplay': 4, 'dropped': 59, 'playing': 1}",,332,2024-06-17T15:36:37,56389,,,"[{'id': 418, 'name': '2 players', 'slug': '2-players', 'language': 'eng', 'games_count': 1244, 'image_background': 'https://media.rawg.io/media/screenshots/2da/2dab29baecf27327f4d896baa39b433d.jpg'}]",,,92,0f0f0f,0f0f0f,"[{'id': -1, 'image': 'https://media.rawg.io/media/screenshots/1e9/1e99695d085a792f09755c951f9f7770.jpg'}, {'id': 1721456, 'image': 'https://media.rawg.io/media/screenshots/ff6/ff6d743ccc2d744f1eb27f4a1aba6a35.jpg'}, {'id': 1721457, 'image': 'https://media.rawg.io/media/screenshots/26e/26e9294d5668bbbe3e9ec6338c3cd548.jpg'}, {'id': 1721458, 'image': 'https://media.rawg.io/media/screenshots/a91/a916e4acb26a0127cb42b737b5dd2308.jpg'}, {'id': 1721459, 'image': 'https://media.rawg.io/media/screenshots/043/043d1733fef59e52d390f5c0481edffc.jpg'}, {'id': 754290, 'image': 'https://media.rawg.io/media/screenshots/c17/c17dedca996bef8fdb5563ed3f180048.jpg'}, {'id': 754291, 'image': 'https://media.rawg.io/media/screenshots/d13/d13dd8661c66a75f972359ad0151224f.jpg'}]","[{'platform': {'id': 7, 'name': 'Nintendo', 'slug': 'nintendo'}}, {'platform': {'id': 10, 'name': 'Commodore / Amiga', 'slug': 'commodore-amiga'}}]","[{'id': 4, 'name': 'Action', 'slug': 'action'}]",
wild-gunman-1984,Wild Gunman (1984),0,"[{'platform': {'id': 49, 'name': 'NES', 'slug': 'nes'}}]",,1984-02-18,False,https://media.rawg.io/media/games/7dd/7ddc0cc1426c5f1e821cd3609bca9503.jpg,3.8,4,"[{'id': 4, 'title': 'recommended', 'count': 41, 'percent': 53.95}, {'id': 3, 'title': 'meh', 'count': 21, 'percent': 27.63}, {'id': 5, 'title': 'exceptional', 'count': 12, 'percent': 15.79}, {'id': 1, 'title': 'skip', 'count': 2, 'percent': 2.63}]",76,0,152,"{'yet': 3, 'owned': 29, 'beaten': 58, 'toplay': 6, 'dropped': 55, 'playing': 1}",,152,2024-06-17T15:36:32,54145,,,"[{'id': 31, 'name': 'Singleplayer', 'slug': 'singleplayer', 'language': 'eng', 'games_count': 223846, 'image_background': 'https://media.rawg.io/media/games/511/5118aff5091cb3efec399c808f8c598f.jpg'}]","{'id': 1, 'name': 'Everyone', 'slug': 'everyone', 'name_en': 'Everyone', 'name_ru': 'Для всех'}",,76,0f0f0f,0f0f0f,"[{'id': -1, 'image': 'https://media.rawg.io/media/games/7dd/7ddc0cc1426c5f1e821cd3609bca9503.jpg'}, {'id': 1692185, 'image': 'https://media.rawg.io/media/screenshots/3ac/3acb7e5fa991583e15b040a1847ff6ef.jpg'}, {'id': 1692186, 'image': 'https://media.rawg.io/media/screenshots/207/207a3b1a975b28a204321594f2360bba.jpg'}, {'id': 1692187, 'image': 'https://media.rawg.io/media/screenshots/f6d/f6d8d842d8ba883f772565163978875c.jpg'}, {'id': 1692188, 'image': 'https://media.rawg.io/media/screenshots/c78/c78c2396bea80328bfcd09fcc98b0be2.jpg'}, {'id': 1692189, 'image': 'https://media.rawg.io/media/screenshots/0ba/0ba7e4ff2731efebae15fd348e172e2c.jpg'}, {'id': 1692190, 'image': 'https://media.rawg.io/media/screenshots/800/8003a6f00581484a0f46a84c8932e4c6_aXgUwDb.jpg'}]","[{'platform': {'id': 7, 'name': 'Nintendo', 'slug': 'nintendo'}}]","[{'id': 2, 'name': 'Shooter', 'slug': 'shooter'}, {'id': 4, 'name': 'Action', 'slug': 'action'}]",
road-fighter,Road Fighter,4,"[{'platform': {'id': 4, 'name': 'PC', 'slug': 'pc'}}, {'platform': {'id': 10, 'name': 'Wii U', 'slug': 'wii-u'}}, {'platform': {'id': 11, 'name': 'Wii', 'slug': 'wii'}}, {'platform': {'id': 49, 'name': 'NES', 'slug': 'nes'}}]",,1984-12-07,False,https://media.rawg.io/media/games/710/7106bc086072e628fa064e05498945a9.jpg,3.89,4,"[{'id': 4, 'title': 'recommended', 'count': 38, 'percent': 58.46}, {'id': 3, 'title': 'meh', 'count': 15, 'percent': 23.08}, {'id': 5, 'title': 'exceptional', 'count': 11, 'percent': 16.92}, {'id': 1, 'title': 'skip', 'count': 1, 'percent': 1.54}]",64,1,130,"{'yet': 3, 'owned': 26, 'beaten': 50, 'toplay': 3, 'dropped': 48}",,105,2024-06-17T15:36:18,34049,,,[],,,65,0f0f0f,0f0f0f,"[{'id': -1, 'image': 'https://media.rawg.io/media/games/710/7106bc086072e628fa064e05498945a9.jpg'}, {'id': 342719, 'image': 'https://media.rawg.io/media/screenshots/6b6/6b6f5f190e23ec6e626ec2e863a81d21.jpg'}, {'id': 342720, 'image': 'https://media.rawg.io/media/screenshots/c69/c69b584ef9475076e0ab756fdaccc689.jpg'}, {'id': 342721, 'image': 'https://media.rawg.io/media/screenshots/f22/f22e69b0f34d1bb0999b3821334968ae.jpg'}, {'id': 342722, 'image': 'https://media.rawg.io/media/screenshots/404/404334727f8a7dd266873b2fa485cf58.jpg'}, {'id': 342723, 'image': 'https://media.rawg.io/media/screenshots/83d/83d3c532a7d4418e9340cbc0c1ad43a8.jpg'}]","[{'platform': {'id': 1, 'name': 'PC', 'slug': 'pc'}}, {'platform': {'id': 7, 'name': 'Nintendo', 'slug': 'nintendo'}}]","[{'id': 1, 'name': 'Racing', 'slug': 'racing'}, {'id': 11, 'name': 'Arcade', 'slug': 'arcade'}]",
game-1942,1942,5,"[{'platform': {'id': 11, 'name': 'Wii', 'slug': 'wii'}}, {'platform': {'id': 49, 'name': 'NES', 'slug': 'nes'}}, {'platform': {'id': 166, 'name': 'Commodore / Amiga', 'slug': 'commodore-amiga'}}, {'platform': {'id': 74, 'name': 'SEGA Master System', 'slug': 'sega-master-system'}}]","[{'store': {'id': 6, 'name': 'Nintendo Store', 'slug': 'nintendo'}}]",1984-01-24,False,https://media.rawg.io/media/screenshots/901/901054a0ec26e08fee47ab7bffdb1ce8.jpg,3.75,4,"[{'id': 4, 'title': 'recommended', 'count': 36, 'percent': 67.92}, {'id': 3, 'title': 'meh', 'count': 11, 'percent': 20.75}, {'id': 5, 'title': 'exceptional', 'count': 4, 'percent': 7.55}, {'id': 1, 'title': 'skip', 'count': 2, 'percent': 3.77}]",51,2,110,"{'yet': 4, 'owned': 33, 'beaten': 26, 'toplay': 3, 'dropped': 42, 'playing': 2}",,114,2023-10-11T19:37:49,26616,,,"[{'id': 31, 'name': 'Singleplayer', 'slug': 'singleplayer', 'language': 'eng', 'games_count': 220522, 'image_background': 'https://media.rawg.io/media/games/511/5118aff5091cb3efec399c808f8c598f.jpg'}, {'id': 42398, 'name': 'Инди', 'slug': 'indi-2', 'language': 'rus', 'games_count': 53503, 'image_background': 'https://media.rawg.io/media/games/63f/63f0e68688cad279ed38cde931dbfcdb.jpg'}, {'id': 42421, 'name': 'Стратегия', 'slug': 'strategiia', 'language': 'rus', 'games_count': 18185, 'image_background': 'https://media.rawg.io/media/games/858/858c016de0cf7bc21a57dcc698a04a0c.jpg'}]",,,53,0f0f0f,0f0f0f,"[{'id': -1, 'image': 'https://media.rawg.io/media/screenshots/901/901054a0ec26e08fee47ab7bffdb1ce8.jpg'}, {'id': 1697549, 'image': 'https://media.rawg.io/media/screenshots/417/417dc61c5720467a56269e1cb3afd110.jpg'}, {'id': 1697550, 'image': 'https://media.rawg.io/media/screenshots/ecd/ecd4a1d8654195247482df0153763732.jpg'}, {'id': 1697551, 'image': 'https://media.rawg.io/media/screenshots/61e/61e0342b0620805004bd5c8072d1ae3e.jpg'}, {'id': 1697552, 'image': 'https://media.rawg.io/media/screenshots/f07/f075773a16c2c5216edd6770f39f2427_NqB148X.jpg'}]","[{'platform': {'id': 7, 'name': 'Nintendo', 'slug': 'nintendo'}}, {'platform': {'id': 10, 'name': 'Commodore / Amiga', 'slug': 'commodore-amiga'}}, {'platform': {'id': 11, 'name': 'SEGA', 'slug': 'sega'}}]","[{'id': 2, 'name': 'Shooter', 'slug': 'shooter'}]",
donkey-kong-3,Donkey Kong 3,0,"[{'platform': {'id': 8, 'name': 'Nintendo 3DS', 'slug': 'nintendo-3ds'}}, {'platform': {'id': 10, 'name': 'Wii U', 'slug': 'wii-u'}}, {'platform': {'id': 11, 'name': 'Wii', 'slug': 'wii'}}, {'platform': {'id': 24, 'name': 'Game Boy Advance', 'slug': 'game-boy-advance'}}, {'platform': {'id': 49, 'name': 'NES', 'slug': 'nes'}}]","[{'store': {'id': 6, 'name': 'Nintendo Store', 'slug': 'nintendo'}}]",1984-07-04,False,https://media.rawg.io/media/screenshots/66a/66ade5302de761bcb5d15e8393f267cb.jpg,3.36,3,"[{'id': 3, 'title': 'meh', 'count': 16, 'percent': 44.44}, {'id': 4, 'title': 'recommended', 'count': 15, 'percent': 41.67}, {'id': 1, 'title': 'skip', 'count': 3, 'percent': 8.33}, {'id': 5, 'title': 'exceptional', 'count': 2, 'percent': 5.56}]",34,2,92,"{'yet': 6, 'owned': 23, 'beaten': 29, 'toplay': 13, 'dropped': 21}",,328,2023-12-06T09:26:52,53790,,,"[{'id': 31, 'name': 'Singleplayer', 'slug': 'singleplayer', 'language': 'eng', 'games_count': 220522, 'image_background': 'https://media.rawg.io/media/games/511/5118aff5091cb3efec399c808f8c598f.jpg'}, {'id': 7, 'name': 'Multiplayer', 'slug': 'multiplayer', 'language': 'eng', 'games_count': 37503, 'image_background': 'https://media.rawg.io/media/games/b49/b4912b5dbfc7ed8927b65f05b8507f6c.jpg'}]",,,36,0f0f0f,0f0f0f,"[{'id': -1, 'image': 'https://media.rawg.io/media/screenshots/66a/66ade5302de761bcb5d15e8393f267cb.jpg'}, {'id': 735395, 'image': 'https://media.rawg.io/media/screenshots/509/509a37a1832a52dbdf767b09636b9804.jpg'}, {'id': 735396, 'image': 'https://media.rawg.io/media/screenshots/83e/83e428725236400ba785270c189f67e7.jpg'}, {'id': 735397, 'image': 'https://media.rawg.io/media/screenshots/48b/48be44c2fca27ce0234e7b3f02b5cf1a.jpg'}, {'id': 735398, 'image': 'https://media.rawg.io/media/screenshots/dae/dae7d83cab25ad90484fb26e17e4cb0f.jpg'}, {'id': 735399, 'image': 'https://media.rawg.io/media/screenshots/c07/c07f72c983759351ab830bb283ce967b.jpg'}, {'id': 735400, 'image': 'https://media.rawg.io/media/screenshots/012/012693a28ac2012a4f496198db1cf503.jpg'}]","[{'platform': {'id': 7, 'name': 'Nintendo', 'slug': 'nintendo'}}]","[{'id': 2, 'name': 'Shooter', 'slug': 'shooter'}]",
hogans-alley-1984,Hogan's Alley (1984),0,"[{'platform': {'id': 49, 'name': 'NES', 'slug': 'nes'}}]",,1984-06-12,False,https://media.rawg.io/media/screenshots/93e/93e5094307d91e22d8e716ac8651381c.jpg,3.76,4,"[{'id': 4, 'title': 'recommended', 'count': 29, 'percent': 63.04}, {'id': 3, 'title': 'meh', 'count': 12, 'percent': 26.09}, {'id': 5, 'title': 'exceptional', 'count': 4, 'percent': 8.7}, {'id': 1, 'title': 'skip', 'count': 1, 'percent': 2.17}]",46,0,87,"{'yet': 4, 'owned': 22, 'beaten': 30, 'toplay': 3, 'dropped': 28}",,222,2024-05-06T15:12:37,53863,,,"[{'id': 31, 'name': 'Singleplayer', 'slug': 'singleplayer', 'language': 'eng', 'games_count': 220522, 'image_background': 'https://media.rawg.io/media/games/511/5118aff5091cb3efec399c808f8c598f.jpg'}]","{'id': 1, 'name': 'Everyone', 'slug': 'everyone', 'name_en': 'Everyone', 'name_ru': 'Для всех'}",,46,0f0f0f,0f0f0f,"[{'id': -1, 'image': 'https://media.rawg.io/media/screenshots/93e/93e5094307d91e22d8e716ac8651381c.jpg'}, {'id': 736098, 'image': 'https://media.rawg.io/media/screenshots/10a/10a7ee1c003238dd6287ebb6270cd084.jpg'}, {'id': 736099, 'image': 'https://media.rawg.io/media/screenshots/32e/32e8e28e8ab724687967fc6d61b0ee31.jpg'}, {'id': 736100, 'image': 'https://media.rawg.io/media/screenshots/c6c/c6c40b3e91f2df2c095bf0024b55d433.jpg'}, {'id': 736101, 'image': 'https://media.rawg.io/media/screenshots/d34/d34b54f24a028a105821c7c667336053.jpg'}, {'id': 736102, 'image': 'https://media.rawg.io/media/screenshots/dba/dbafd0f153f5083fc3c8a39e3cddcf8b.jpg'}, {'id': 736103, 'image': 'https://media.rawg.io/media/screenshots/825/825822b2c95054c85fc7f9429f39c123.jpg'}]","[{'platform': {'id': 7, 'name': 'Nintendo', 'slug': 'nintendo'}}]","[{'id': 2, 'name': 'Shooter', 'slug': 'shooter'}, {'id': 4, 'name': 'Action', 'slug': 'action'}]",
